activity_name,type,distance,moving_time,elapsed_time,total_elevation_gain,average_speed,max_speed,average_heartrate_bpm,max_heartrate_bpm,achievement_count,kudos_count,comment_count,athlete_count,commute,gear_id,suffer_score,average_temp,start_data,distance_km
Crewing in the Lakes,Run,9827.1,74:54,205:07,243,2.187,4.4,130,165,2,53,1,1,FALSE,g15257806,22,20,2025-04-05,9.8271
Preston parkrun (17:11),Run,12110.2,52:27,70:59,116,3.848,7.96,155.8,187,22,61,2,1,FALSE,g21525952,79,15,2025-04-05,12.1102
Collect and drop off bike and enjoy the sunshine,Run,20110.3,100:06,140:32,158,3.348,7.02,136.4,158,4,51,2,1,FALSE,g15257806,33,21,2025-04-04,20.1103
Lunch Ride,Ride,6953.4,28:52,185:00,78,4.015,10.1,99.2,143,2,0,0,1,TRUE,b15178927,4,26,2025-04-04,6.953399999999999
The next chapter,Run,8227.2,42:02,42:10,77,3.262,5.7,139.2,160,3,43,0,2,FALSE,g15257806,17,22,2025-04-03,8.2272
A finale,Run,14855.4,72:10,321:52,208,3.431,5.36,148.7,180,10,39,7,1,FALSE,g15257806,80,20,2025-04-03,14.8554
Morning Ride,Ride,2128.8,07:58,12:04,30,4.454,7.94,99.4,120,0,0,0,1,TRUE,b15178927,1,19,2025-04-02,2.1288
LCC Run club (still awaiting name),Run,14868.8,89:13,117:51,110,2.778,7.58,124.2,152,1,49,2,3,FALSE,g15257806,20,22,2025-04-01,14.868799999999998
Morning Ride,Ride,9550.7,30:22,315:02,102,5.242,10.217,103.5,146,0,0,0,1,TRUE,b15178927,5,24,2025-04-01,9.5507
Afternoon Ride,Ride,5386.2,21:29,36:49,48,4.179,9.42,92.9,125,2,0,0,1,TRUE,b15178927,2,23,2025-03-31,5.3862
Morning Ride,Ride,6596.2,19:53,28:11,52,5.529,9.06,109.1,155,6,21,27,1,FALSE,b8218319,4,21,2025-03-31,6.5962
Lunch Hike,Hike,3487.1,53:30,85:55,386,1.086,9.58,97.2,133,0,0,0,1,FALSE,g12684381,7,19,2025-03-30,3.4871
Afternoon Run,Run,20030.4,102:11,108:27,175,3.267,8.08,134.5,162,29,51,0,1,FALSE,g19496926,38,13,2025-03-28,20.0304
Lunch Ride,Ride,12436.8,40:08,61:18,145,5.165,11.5,98.3,133,3,0,0,1,TRUE,b8218319,5,22,2025-03-28,12.4368
7 Hills of the West End (+ Duncruin),Run,15736.6,75:59,77:34,278,3.452,5.94,154.9,180,17,58,0,1,FALSE,g3897569,109,16,2025-03-27,15.736600000000001
Morning Ride,Ride,2282.5,08:21,13:37,27,4.556,7.76,106.7,133,0,1,0,1,TRUE,b15178927,1,21,2025-03-26,2.2825
Evening Run,Run,588.2,02:55,03:00,2,3.361,3.758,141.5,149,0,0,0,1,FALSE,g21525952,2,21,2025-03-25,0.5882000000000001
LCC Run club intervals,Run,16934.5,97:20,105:56,132,2.9,7.04,139.2,183,16,55,0,2,FALSE,g21525952,44,15,2025-03-25,16.9345
Morning Ride,Ride,6846.6,23:19,544:46,80,4.894,8.62,109.5,149,0,1,0,1,TRUE,b15178927,4,24,2025-03-25,6.8466000000000005
Priddy,Run,8403.9,43:09,43:55,35,3.246,5.32,131.8,150,2,50,0,1,FALSE,g15257806,11,17,2025-03-24,8.4039
Afternoon Ride,Ride,2095.6,09:24,10:28,25,3.716,8.84,104.5,133,0,1,0,1,TRUE,b15178927,1,22,2025-03-24,2.0956
Canal running,Run,28218,136:38,171:07,102,3.442,4.68,137.9,166,18,60,0,1,FALSE,g17029860,51,17,2025-03-23,28.218
Afternoon Ride,Ride,9299.7,36:03,175:40,88,4.299,9.44,104,128,7,0,0,1,FALSE,b8218319,5,24,2025-03-22,9.299700000000001
Morning Swim,Swim,2000,33:27,38:33,0,0.997,1.4,128.6,160,0,17,0,1,FALSE,NA,24,NA,2025-03-22,2
Evening Run,Run,18342.4,95:20,198:23,160,3.207,5.88,140.5,169,6,53,0,1,FALSE,g19496926,52,19,2025-03-21,18.3424
LCC bike lunch club,Ride,19946.5,69:18,388:55,183,4.797,9.84,105.3,136,4,29,4,4,TRUE,b15178927,11,23,2025-03-20,19.9465
Stunning Sunset run,Run,15060,90:05,105:16,52,2.786,4.96,120.2,155,8,50,0,2,FALSE,g15257806,22,15,2025-03-19,15.06
Morning Ride,Ride,4415.8,15:03,554:18,49,4.89,9.183,95.9,125,0,1,0,1,TRUE,b15178927,2,22,2025-03-19,4.4158
RRR!,Run,12350.8,76:44,91:40,103,2.683,5.45,127.7,150,2,50,2,11,FALSE,g15257806,17,15,2025-03-18,12.3508
Afternoon Ride,Ride,4083.1,12:56,17:08,32,5.262,8.58,103.6,132,1,0,0,1,TRUE,b15178927,2,20,2025-03-18,4.0831
LCC Long,Run,16432.2,81:22,84:27,104,3.366,6.08,133.9,153,8,53,0,2,FALSE,g15257806,25,18,2025-03-18,16.4322
Morning Ride,Ride,2104.8,07:42,13:14,26,4.556,7.411,139.6,221,0,0,0,1,TRUE,b15178927,5,17,2025-03-18,2.1048
Lush,Run,17056.7,101:03,101:38,717,2.813,4.48,146.9,183,15,67,3,1,FALSE,g8836541,90,14,2025-03-16,17.0567
Shrewsbury Parkrun,Run,11010.3,59:52,81:26,100,3.065,4.417,120.9,157,21,60,2,2,FALSE,g15257806,14,15,2025-03-15,11.010299999999999
Ragleth up-down,Run,5839.8,34:07,58:00,263,2.853,5.367,152.6,183,0,42,0,1,FALSE,g8836541,43,17,2025-03-14,5.8398
Longmynd with Dani and Horses,Run,14091,122:37,133:47,416,1.915,4.48,108.1,148,9,42,0,2,FALSE,g8836541,19,15,2025-03-14,14.091
LCC Run club?,Run,8859.2,44:25,46:39,49,3.324,4.54,128.5,151,9,41,1,2,FALSE,g15257806,11,15,2025-03-13,8.859200000000001
Morning Ride,Ride,2115,06:33,06:51,21,5.382,7.889,91.9,108,0,0,0,1,TRUE,b15178927,0,19,2025-03-13,2.115
Prezn Run,Run,20050.2,101:09,122:26,137,3.304,4.817,132.2,155,9,48,0,1,FALSE,g15257806,28,13,2025-03-12,20.0502
Morning Ride,Ride,4363.7,15:38,582:45,50,4.652,9.84,104.2,125,0,0,0,1,TRUE,b15178927,2,20,2025-03-12,4.3637
Riversway Intervals,Run,15180.1,88:48,134:00,68,2.849,7.567,149.7,184,17,51,0,1,FALSE,g21525952,70,13,2025-03-11,15.1801
Morning Ride,Ride,4815.7,18:30,520:53,65,4.338,10.68,108.4,132,1,0,0,1,TRUE,b15178927,3,19,2025-03-11,4.8157
Morning Ride,Ride,6709.8,22:00,23:05,51,5.083,9.117,90,94,6,0,0,1,TRUE,b8218319,2,17,2025-03-10,6.7098
Kelvin loop,Run,25216.3,193:26,312:56,435,2.173,4.917,116.3,152,3,0,0,1,FALSE,g7158509,35,18,2025-03-09,25.2163
Science. Elder Parkrun,Run,5034.7,16:50,16:53,7,4.97,6.58,181.6,191,8,65,4,12,FALSE,g15257806,64,17,2025-03-08,5.0347
Morning Run,Run,926.8,04:19,04:40,2,3.578,5.32,146.3,163,1,0,0,1,FALSE,g15257806,4,20,2025-03-08,0.9268
Morning Ride,Ride,9217.5,41:00,54:08,75,3.747,9.64,96.8,150,3,0,0,1,TRUE,b8218319,6,21,2025-03-08,9.2175
Evening Ride,Ride,11476,38:01,49:33,85,5.031,9.875,103.1,136,1,1,0,1,TRUE,b8218319,5,21,2025-03-07,11.476
Afternoon Run,Run,9462.6,58:50,69:34,178,2.681,4.933,116.7,157,1,2,0,1,FALSE,g14852944,13,19,2025-03-07,9.4626
Evening Ride,Ride,4635.3,13:29,24:12,53,5.73,8.8,229.1,230,1,0,0,1,TRUE,b8218319,21,24,2025-03-06,4.6353
Lunch Run,Run,8551,42:09,50:57,62,3.381,4.82,134,161,4,42,0,2,FALSE,g15257806,13,22,2025-03-06,8.551
Morning Ride,Ride,6603.9,22:51,222:55,85,4.817,9.4,97.3,146,0,0,0,1,TRUE,b15178927,3,23,2025-03-06,6.603899999999999
Evening Run,Run,21183.1,104:26,128:13,145,3.381,12.896,138.2,154,17,53,0,1,FALSE,g15257806,41,15,2025-03-05,21.1831
Morning Ride,Ride,4200.2,13:56,567:14,35,5.024,8.5,103.9,144,0,1,0,1,TRUE,b15178927,2,23,2025-03-05,4.2002
Riversway Roadrunners,Run,16572.6,91:48,108:45,91,3.009,5.05,127,151,6,43,0,1,FALSE,g21525952,25,13,2025-03-04,16.572599999999998
Morning Ride,Ride,4634,17:31,578:36,41,4.409,10.94,109.8,132,0,0,0,1,TRUE,b15178927,3,20,2025-03-04,4.634
Morning Ride,Ride,6333.2,19:12,21:42,36,5.498,9.5,139.4,166,7,1,0,1,TRUE,b8218319,13,22,2025-03-03,6.3332
Morning Run,Run,20405.7,99:40,124:20,221,3.412,5.8,134.3,159,9,58,0,1,FALSE,g19496926,33,15,2025-03-02,20.4057
Morning Yoga,Yoga,0,20:00,20:00,0,0,0,NA,NA,0,0,0,1,FALSE,NA,NA,NA,2025-03-02,0
Afternoon Ride,Ride,8417.5,28:30,174:08,150,4.923,9.3,104.4,135,0,0,0,1,TRUE,b15178927,4,21,2025-03-01,8.4175
Alan Scally 5k Relay (16:03),Run,5002.8,16:04,16:04,12,5.19,6.82,179.5,186,13,99,21,56,FALSE,g13379738,59,13,2025-03-01,5.002800000000001
Lunch Run,Run,1809.6,08:18,10:48,6,3.634,4.914,141.8,162,1,0,0,1,FALSE,g17029860,6,16,2025-03-01,1.8095999999999999
Morning Ride,Ride,9104,25:40,27:05,30,5.912,9,114.2,152,5,0,0,1,TRUE,b15178927,5,19,2025-03-01,9.104
Morning Run,Run,6166.3,32:01,80:33,90,3.21,5.1,125.3,147,0,33,0,1,FALSE,g19496926,8,13,2025-02-28,6.166300000000001
Morning Ride,Ride,2669.3,11:20,41:04,20,3.925,7.5,100.7,124,0,0,0,1,TRUE,b15178927,1,24,2025-02-27,2.6693000000000002
Morning Ride,Ride,2119,07:18,10:10,24,4.838,7.3,107,189,0,0,0,1,TRUE,b15178927,2,18,2025-02-27,2.119
Morning Run,Run,7279.5,35:04,35:12,27,3.46,4.986,128.8,149,3,41,0,1,FALSE,g15257806,9,12,2025-02-27,7.2795
Afternoon Run,Run,15863.2,90:10,91:29,74,2.932,5.5,117.2,149,3,50,0,2,FALSE,g15257806,19,12,2025-02-26,15.8632
Morning Ride,Ride,4419.5,15:32,537:56,47,4.742,8.6,105.5,130,0,0,0,1,TRUE,b15178927,2,22,2025-02-26,4.4195
Intervals along the river,Run,16196.4,71:47,83:10,61,3.76,6.3,141.5,181,14,41,0,1,FALSE,g21525952,39,14,2025-02-25,16.1964
Morning Ride,Ride,17098.7,57:35,564:51,181,4.949,10.96,121.6,208,4,0,0,1,TRUE,b15178927,29,22,2025-02-25,17.0987
Morning Ride,Ride,10971.8,42:07,577:10,124,4.342,9.383,101,131,0,0,0,1,TRUE,b15178927,6,23,2025-02-24,10.9718
Afternoon Ride,Ride,8090.9,29:35,114:00,84,4.558,10.02,103.4,130,4,0,0,1,TRUE,b15178927,4,23,2025-02-23,8.0909
Morning Run,Run,18112,90:24,98:36,187,3.339,6.917,136.2,156,4,67,3,1,FALSE,g15257806,28,16,2025-02-23,18.112
Afternoon Ride,Ride,14553,49:31,213:22,183,4.898,11.78,110.7,145,4,0,0,1,TRUE,b15178927,9,23,2025-02-22,14.553
Preston Parkrun,Run,27408.1,150:13,217:55,227,3.041,6.86,133.9,162,24,68,4,1,FALSE,g15257806,51,19,2025-02-22,27.408099999999997
Morning Ride,Ride,10558.5,40:13,604:15,168,4.376,11.629,107.4,134,0,0,0,1,TRUE,b15178927,6,23,2025-02-21,10.5585
Evening Run,Run,12930.2,61:36,70:50,118,3.498,6.04,147.1,176,2,52,0,1,FALSE,g15257806,55,19,2025-02-20,12.930200000000001
Morning Ride,Ride,15860.1,53:15,402:18,125,4.964,8.92,107.3,135,1,0,0,1,TRUE,b15178927,9,23,2025-02-20,15.860100000000001
Afternoon Run,Run,17749.9,90:57,94:12,130,3.253,4.783,134.6,157,7,55,0,1,FALSE,g15257806,28,14,2025-02-19,17.7499
Morning Ride,Ride,4525,19:10,598:21,46,3.935,9.317,98.2,134,1,0,0,1,TRUE,b15178927,2,23,2025-02-19,4.525
Evening Run,Run,6368.7,34:02,34:02,42,3.119,4.35,131.9,151,3,42,6,1,FALSE,g15257806,9,11,2025-02-17,6.3687
Evening Ride,Ride,2470.6,14:34,34:26,17,2.827,8.733,94.4,125,0,0,0,1,FALSE,b15178927,1,25,2025-02-17,2.4706
Glentress Trail Marathon 🥈,Run,41627.9,224:44,224:46,1618,3.087,5.64,165.4,177,36,97,14,2,FALSE,g7496850,494,13,2025-02-16,41.627900000000004
Morning Swim,Swim,2300,37:19,47:38,0,1.027,1.8,133.7,184,0,23,0,1,FALSE,NA,49,NA,2025-02-15,2.3
Morning Yoga,Yoga,0,20:39,20:39,0,0,0,64.1,85,0,0,0,1,FALSE,NA,1,25,2025-02-15,0
Morning Run,Run,10748.7,62:43,76:59,201,2.856,4.767,127.2,153,2,42,1,2,FALSE,g7496850,18,11,2025-02-14,10.748700000000001
Morning Ride,Ride,2234.5,07:44,09:16,26,4.816,7.829,107.9,149,0,0,0,1,FALSE,b15178927,1,18,2025-02-13,2.2345
Evening Run,Run,15594.2,76:00,76:06,83,3.42,4.9,134.7,154,3,41,0,1,FALSE,g15257806,23,18,2025-02-12,15.5942
Morning Ride,Ride,4538.8,16:24,693:28,56,4.613,9.88,105.8,133,2,0,0,1,TRUE,b15178927,2,20,2025-02-12,4.5388
Evening Ride,Ride,6661.7,21:35,25:12,34,5.144,7.767,118.2,150,2,0,0,1,TRUE,b15178927,5,11,2025-02-11,6.6617
PH track,Run,10520.5,56:22,65:47,28,3.111,5.9,141.6,180,5,40,0,1,FALSE,g21525952,44,12,2025-02-11,10.5205
Morning Ride,Ride,10561.8,37:40,619:25,64,4.673,10.22,111.3,150,1,0,0,1,TRUE,b15178927,7,21,2025-02-11,10.5618
